FirstName,LastName,DOB,Email,ClassroomID,PlacementID,AssessorID
Meredith,Adanez,02/05/1993,madanez0@imdb.com,19131,22911,154754
Nicola,Coulthard,12/06/1987,ncoulthard1@house.gov,19131,22911,154754
Constancia,Vertigan,13/08/1994,cvertigan2@xrea.com,19131,22911,154754
Marlie,Budleigh,01/03/1998,mbudleigh3@weebly.com,19131,22911,154754
Bernardo,Kunert,09/09/1988,bkunert4@google.com.au,19131,22911,154754
Sherwynd,Fincke,19/05/2002,sfincke5@forbes.com,19131,22911,154754
Giraud,Dabnot,08/01/1996,gdabnot6@sourceforge.net,19131,22911,154754
Anson,Cruddace,07/12/1985,acruddace7@biglobe.ne.jp,19131,22911,154754
Melony,Barday,24/03/1993,mbarday8@g.co,19131,22911,154754
Agneta,Sissot,31/07/1997,asissot9@123-reg.co.uk,19131,22911,154754
Pamella,Losel,17/02/2001,plosela@jigsy.com,19131,22911,154754
Anneliese,Kittman,24/07/1993,akittmanb@utexas.edu,19131,22911,154754
Merrick,Casina,16/05/1994,mcasinac@state.gov,19131,22911,154754
Felizio,Rugge,24/08/1988,frugged@uiuc.edu,19131,22911,154754
Biddy,Worcs,26/09/1987,bworcse@t-online.de,19131,22911,154754
Golda,Amer,01/09/1999,gamerf@imageshack.us,19131,22911,154754
Des,Shafe,03/09/1992,dshafeg@japanpost.jp,19131,22911,154754
Hagan,Rivilis,15/12/2001,hrivilish@disqus.com,19131,22911,154754
Sammie,Girvan,31/03/1995,sgirvani@eventbrite.com,19131,22911,154754
Nickie,Titchener,10/07/1999,ntitchenerj@google.nl,19131,22911,154754
Cornie,Annis,13/02/1991,cannisk@wikimedia.org,19131,22911,154754
Piotr,Cockayne,04/08/1986,pcockaynel@ted.com,19131,22911,154754
Daron,Wallhead,01/09/1987,dwallheadm@angelfire.com,19131,22911,154754
Claire,Klein,19/12/1998,ckleinn@nytimes.com,19131,22911,154754
Sherlock,Sawdy,02/10/1994,ssawdyo@pcworld.com,19131,22911,154754
